Loan Id,Amount,Term,Rate,Grade,Employment,Length,Income,Status,State,Debtincrat,Delinq2Yr,Openacc,RevolRatio,Totalpaid,Totalbal,Accopen24,Avgbal,Bcratio,Totallim,IncomeGroup,DefaultFlag,LengthGroup,RateGroup
442,8500,60,302.55,A,Bi Analyst,5,"55,000.00",Non-Default,MN,19.51,0,8,High Utilization,"9,252.25",50612,4,6327,77.00,65905,Middle Income,0,3-5 Years,Middle Rate
509,13550,36,518.71,D,Electrician,1,"61,409.00",Non-Default,CA,26.36,0,11,Medium Utilization,"15,307.77",283874,4,28387,51.30,312064,Middle Income,0,0-2 Years,Middle Rate
523,28000,36,592.60,A,Atmospheric Scientist,7,"125,000.00",Non-Default,PA,12.1,0,6,High Utilization,"30,921.35",361663,1,60277,94.30,401731,High Income,0,6-10 Years,High Rate
553,8000,36,509.36,B,Administrative Director,3,"280,000.00",Non-Default,CA,4.44,0,9,High Utilization,"9,456.90",576186,1,96031,94.50,723630,High Income,0,3-5 Years,Middle Rate
725,12800,36,594.98,C,Qa Tester,2,"72,800.00",Non-Default,OH,5.59,2,8,High Utilization,"16,154.48",94094,3,11762,89.60,100580,Middle Income,0,0-2 Years,High Rate
742,13900,60,80.21,B,Production Manager,4,"51,000.00",Non-Default,WI,14.76,0,7,Medium Utilization,"11,079.69",20789,2,3465,30.20,44925,Middle Income,0,3-5 Years,Low Rate
758,19825,36,238.01,C,Labor Manager,10,"98,700.00",Non-Default,TX,20.96,0,11,High Utilization,"23,841.54",102417,3,10242,15.90,148436,High Income,0,6-10 Years,Low Rate
782,2925,36,289.40,C,Office Manager/Principal'S Secretary,10,"38,000.00",Non-Default,CA,3.1,0,7,Medium Utilization,"3,544.22",121664,4,20277,88.90,127435,Low Income,0,6-10 Years,Middle Rate
784,13000,60,215.04,C,"Team Leader, Lexus Production",10,"83,000.00",Default,KY,15.96,0,10,Medium Utilization,"7,061.01",209799,7,20980,69.20,220352,Middle Income,1,6-10 Years,Low Rate
835,12000,36,367.19,B,Operations Manager,10,"45,000.00",Non-Default,SD,36.45,0,10,Medium Utilization,"13,608.29",51268,2,5127,30.40,109515,Low Income,0,6-10 Years,Middle Rate
869,35000,36,327.34,B,Anesthesiologist,10,"450,000.00",Non-Default,MI,15.76,0,25,High Utilization,"27,835.83",394785,1,16449,71.60,576630,High Income,0,6-10 Years,Middle Rate
897,4000,60,251.36,A,Financial Analyst,1,"51,000.00",Non-Default,PA,10.45,0,15,High Utilization,"4,446.79",41706,2,2780,98.70,52327,Middle Income,0,0-2 Years,Low Rate
933,20000,60,348.87,A,Director Of  Catering,2,"100,000.00",Non-Default,NY,5.93,0,4,Medium Utilization,"22,384.82",15797,0,3949,50.60,35590,High Income,0,0-2 Years,Middle Rate
1074,10000,36,201.41,C,Owner,1,"43,600.00",Non-Default,GA,5.23,0,9,Medium Utilization,"12,017.43",12045,6,1338,65.60,32100,Low Income,0,0-2 Years,Low Rate
1118,6625,36,726.19,D,Flight Attendant,3,"16,000.00",Non-Default,NY,33.08,0,7,Medium Utilization,"8,595.57",15968,2,2281,51.40,25900,Low Income,0,3-5 Years,High Rate
1161,4200,36,73.84,A,Hydrologist,10,"96,000.00",Non-Default,MO,2.04,0,10,Low Utilization,"4,593.14",177409,2,17741,8.70,227200,High Income,0,6-10 Years,Low Rate
1201,35000,36,697.41,B,"System Director, Pharmacy",10,"170,000.00",Non-Default,VA,13.38,0,20,Low Utilization,"28,486.39",390647,5,20560,16.70,565179,High Income,0,6-10 Years,High Rate
1202,12825,60,36.76,B,Senior Scrap Buyer,8,"100,000.00",Default,NY,7.62,3,17,Low Utilization,"3,624.01",103730,1,6483,25.10,185900,High Income,1,6-10 Years,Low Rate
1226,25000,60,154.15,D,Special Ed Teacher,5,"65,100.00",Non-Default,SC,13.14,0,13,Low Utilization,"33,914.40",41802,3,3484,22.60,84491,Middle Income,0,3-5 Years,Low Rate
1277,25000,36,596.34,A,Principal,5,"300,300.00",Non-Default,GA,22.72,0,25,High Utilization,"19,337.84",583495,7,26523,85.20,647675,High Income,0,3-5 Years,High Rate
1315,6000,36,477.45,A,Assistant Professor,10,"64,000.00",Non-Default,IN,18.13,0,6,Low Utilization,"6,614.86",23492,2,3915,25.40,90160,Middle Income,0,6-10 Years,Middle Rate
1399,28800,36,507.80,A,Territory Manager,1,"150,000.00",Non-Default,AZ,24.02,0,10,Medium Utilization,"31,761.44",479437,7,59930,51.40,540102,High Income,0,0-2 Years,Middle Rate
1432,15000,60,410.02,C,Patient Navigator,2,"42,000.00",Default,PA,29.2,0,11,High Utilization,"6,386.34",34175,5,3418,97.60,50294,Low Income,1,0-2 Years,Middle Rate
1484,12000,60,329.48,C,Corrections Officer,10,"75,000.00",Non-Default,NY,11.78,0,4,Medium Utilization,"10,674.54",15229,1,3807,52.40,34963,Middle Income,0,6-10 Years,Middle Rate
1538,20000,36,875.12,A,Clerk,2,"47,000.00",Default,VT,16.01,0,11,Medium Utilization,"17,515.22",18366,5,1670,46.30,45100,Middle Income,1,0-2 Years,High Rate
1549,5000,36,576.29,D,Laser Tech,1,"42,000.00",Non-Default,OK,37.51,0,7,High Utilization,"5,903.97",66566,8,9509,79.60,76623,Low Income,0,0-2 Years,Middle Rate
1563,11850,36,452.89,E,Event Consultant,1,"31,000.00",Non-Default,OR,15.5,0,16,Low Utilization,"11,628.25",51812,6,3238,5.40,107950,Low Income,0,0-2 Years,Middle Rate
1572,17700,36,"1,129.19",D,Unknown,6,"40,234.80",Non-Default,VA,33.68,0,8,High Utilization,"16,993.44",26660,3,3333,96.20,36799,Low Income,0,6-10 Years,High Rate
1678,2400,60,45.93,B,Physical Therapist,10,"75,000.00",Non-Default,OH,33.92,0,12,High Utilization,"2,844.72",316786,1,26399,95.80,372701,Middle Income,0,6-10 Years,Low Rate
1706,10000,36,402.15,C,Clinical Nurse Manager,1,"80,000.00",Non-Default,CA,8.88,1,11,Medium Utilization,"8,529.57",29594,5,2959,11.00,71504,Middle Income,0,0-2 Years,Middle Rate
1745,18000,36,275.07,B,Software Engineer,10,"125,000.00",Non-Default,NH,20.81,0,19,Medium Utilization,"19,559.03",87497,4,5147,46.40,142537,High Income,0,6-10 Years,Middle Rate
1758,2500,60,524.06,B,Director Of Intelligent Services Offers,8,"202,000.00",Non-Default,MN,12.58,0,10,Medium Utilization,"2,845.74",532208,4,53221,51.50,681395,High Income,0,6-10 Years,Middle Rate
1797,5100,60,686.62,A,Officer,Unknown,"50,000.00",Non-Default,NY,23.8,2,10,Low Utilization,"5,705.20",90284,5,9028,19.60,119330,Middle Income,0,10+ Years,High Rate
1903,15000,60,559.83,C,Field Service Representative,2,"90,000.00",Non-Default,AZ,11.55,0,9,Medium Utilization,"13,532.66",28960,9,3218,75.20,44799,Middle Income,0,0-2 Years,Middle Rate
1934,30000,60,842.30,A,President,6,"175,000.00",Non-Default,OH,21.32,0,18,Low Utilization,"30,785.48",832902,5,48994,29.90,922998,High Income,0,6-10 Years,High Rate
2055,10000,60,646.76,B,Unknown,1,"23,004.00",Non-Default,KY,34.74,0,13,Medium Utilization,"11,234.78",39582,5,3045,59.20,57302,Low Income,0,0-2 Years,High Rate
2160,7000,36,204.55,C,Head Credit & Collections Supv,10,"55,000.00",Non-Default,NY,12.79,0,21,Medium Utilization,"8,560.58",14990,5,789,94.00,28000,Middle Income,0,6-10 Years,Low Rate
2182,16000,60,778.06,A,Software Engineer,1,"72,000.00",Non-Default,RI,12.27,0,19,Medium Utilization,"17,731.22",38972,3,2165,50.90,72192,Middle Income,0,0-2 Years,High Rate
2264,12550,36,770.81,C,Child Find & Outreach,2,"37,000.00",Default,TX,19.87,0,7,High Utilization,"6,121.15",22260,3,3180,80.20,30528,Low Income,1,0-2 Years,High Rate
2315,5000,36,334.97,A,Equipment Operator,1,"60,000.00",Non-Default,GA,13.88,0,12,Low Utilization,"5,444.04",13461,2,1122,17.90,44100,Middle Income,0,0-2 Years,Middle Rate
2323,5000,36,353.73,A,Special Education,1,"61,000.00",Non-Default,MI,12.32,2,13,Low Utilization,"5,558.69",9907,3,826,6.90,57176,Middle Income,0,0-2 Years,Middle Rate
2405,22000,36,192.03,B,Credit Analyst,5,"110,000.00",Non-Default,IL,13.31,1,17,Medium Utilization,"17,939.24",276929,4,16290,69.50,314826,High Income,0,3-5 Years,Low Rate
2443,9000,36,288.56,A,Unknown,10,"74,000.00",Non-Default,NY,27.02,0,8,High Utilization,"9,927.94",308938,3,38617,98.60,337390,Middle Income,0,6-10 Years,Middle Rate
2464,27975,36,212.78,C,Sales - Vintage Division,10,"56,000.00",Non-Default,MN,27.33,1,17,High Utilization,"34,527.61",49222,2,3281,71.20,81712,Middle Income,0,6-10 Years,Low Rate
2467,28000,36,372.49,A,Senior Consultant,7,"172,000.00",Non-Default,NC,19.21,0,20,Medium Utilization,"21,645.54",280627,8,15590,36.30,418331,High Income,0,6-10 Years,Middle Rate
2490,9000,60,172.48,C,Sales,10,"48,000.00",Non-Default,CA,21.6,1,10,Low Utilization,"10,182.36",12782,1,1278,18.80,68600,Middle Income,0,6-10 Years,Low Rate
2598,27000,60,310.36,B,Director Of Human Resources,1,"93,000.00",Non-Default,NJ,14.9,0,16,High Utilization,"33,309.21",386482,6,29729,84.30,416509,High Income,0,0-2 Years,Middle Rate
2694,20000,36,226.23,A,Software Engineer,2,"76,000.00",Non-Default,PA,16.99,0,11,Low Utilization,"21,377.86",42207,4,3837,24.30,81800,Middle Income,0,0-2 Years,Low Rate
2795,21000,36,929.89,A,Net Trainer,5,"136,000.00",Non-Default,MI,21.49,0,11,High Utilization,"23,737.48",434347,3,43435,58.20,490000,High Income,0,3-5 Years,High Rate
2880,22000,36,88.19,A,Teacher,5,"117,000.00",Non-Default,NY,5.3,1,14,Low Utilization,"22,367.41",493076,3,37929,21.80,623467,High Income,0,3-5 Years,Low Rate
2906,22000,36,282.07,A,Sales Manager,5,"80,000.00",Non-Default,CA,9.59,0,7,Low Utilization,"23,462.71",355624,2,50803,19.20,374978,Middle Income,0,3-5 Years,Middle Rate
2976,35000,36,317.52,E,It Specialist,10,"79,881.00",Default,GA,23.71,0,20,High Utilization,"48,259.98",54596,14,2730,53.80,78893,Middle Income,1,6-10 Years,Middle Rate
2979,10000,60,500.46,B,Unknown,1,"51,279.00",Non-Default,OH,24.62,1,12,High Utilization,"11,848.35",104449,7,8704,78.70,134079,Middle Income,0,0-2 Years,Middle Rate
3041,5000,36,318.79,B,Auto Technician,1,"84,320.00",Non-Default,MN,8.54,0,5,High Utilization,"5,780.69",92095,2,18419,60.70,108800,Middle Income,0,0-2 Years,Middle Rate
3107,4000,60,247.57,B,Manager,1,"88,000.00",Non-Default,CA,19.51,0,20,High Utilization,"4,741.90",46478,5,2324,97.80,79942,Middle Income,0,0-2 Years,Low Rate
3126,12000,36,184.98,D,Unknown,10,"116,508.00",Non-Default,VA,17,1,10,High Utilization,"11,186.49",298236,14,29824,93.90,336475,High Income,0,6-10 Years,Low Rate
3136,6000,36,255.87,B,Manager,10,"75,000.00",Non-Default,CA,22.68,0,13,Low Utilization,"6,505.33",36261,8,3022,26.10,85343,Middle Income,0,6-10 Years,Low Rate
3199,12000,60,239.10,A,Office Manager,10,"35,000.00",Non-Default,CA,17.25,1,11,Medium Utilization,"13,234.05",15355,2,1706,29.90,52000,Low Income,0,6-10 Years,Low Rate
3279,15000,36,862.15,A,Carpenter Foreman,2,"60,000.00",Non-Default,IN,17.1,0,9,Medium Utilization,"16,430.14",147180,4,16353,78.00,170626,Middle Income,0,0-2 Years,High Rate
3304,21000,36,432.73,D,Software Developer Ii,5,"88,000.00",Default,VA,30.81,0,14,High Utilization,"10,364.68",85934,7,6138,85.50,105291,Middle Income,1,3-5 Years,Middle Rate
3307,12000,60,476.30,B,Owner,10,"35,000.00",Default,IN,16.94,0,14,High Utilization,"4,350.76",33318,1,2380,93.80,25258,Low Income,1,6-10 Years,Middle Rate
3330,15000,60,662.85,C,Night Grocery Manager,2,"53,000.00",Non-Default,CA,13.56,0,6,High Utilization,"17,287.05",341313,6,56886,84.40,356763,Middle Income,0,0-2 Years,High Rate
3353,20000,36,304.03,D,Physician Assistant,2,"60,000.00",Default,FL,9.96,0,10,Medium Utilization,"7,366.32",16685,6,1854,56.70,32600,Middle Income,1,0-2 Years,Middle Rate
3379,4000,60,416.35,C,Assist Project Manager,1,"31,200.00",Non-Default,CA,33.88,0,10,Low Utilization,"4,804.17",42594,2,4733,29.00,66574,Low Income,0,0-2 Years,Middle Rate
3393,6300,36,154.21,A,Human Resources Manager,10,"64,300.00",Non-Default,TX,4.4,0,16,Low Utilization,"6,842.81",8452,5,528,32.40,32900,Middle Income,0,6-10 Years,Low Rate
3444,11775,36,302.53,D,Associate Lab Iii,4,"34,840.00",Non-Default,MO,22.49,2,7,High Utilization,"15,132.96",30832,2,5139,99.10,47761,Low Income,0,3-5 Years,Middle Rate
3489,3600,60,777.55,C,Sales,9,"103,000.00",Non-Default,CA,8.28,1,5,High Utilization,"4,423.99",278278,3,55656,98.80,284000,High Income,0,6-10 Years,High Rate
3492,10000,36,312.86,A,Plumber,1,"90,000.00",Non-Default,NV,2.08,0,7,Low Utilization,"11,173.75",3117,5,445,10.50,17900,Middle Income,0,0-2 Years,Middle Rate
3558,23200,36,529.77,B,Maintence Controller,3,"104,935.00",Non-Default,TX,14.7,0,14,Medium Utilization,"26,311.49",283628,7,21818,80.10,339697,High Income,0,3-5 Years,Middle Rate
3595,20000,36,783.70,B,Professional,2,"90,000.00",Non-Default,OH,20.55,2,25,Low Utilization,"20,946.48",178890,12,7454,4.50,266355,Middle Income,0,0-2 Years,High Rate
3616,30000,60,278.97,B,Regional Director,6,"100,000.00",Non-Default,TX,30.16,0,8,High Utilization,"30,941.93",89845,5,11231,69.40,123615,High Income,0,6-10 Years,Middle Rate
3655,15400,36,388.45,F,Administration Assistant,9,"35,000.00",Non-Default,HI,30.35,0,8,High Utilization,"16,474.23",27653,7,3457,NA,36696,Low Income,0,6-10 Years,Middle Rate
3783,10000,60,490.32,B,Controller,1,"90,000.00",Non-Default,CA,21.4,0,12,Low Utilization,"10,825.30",314509,3,28592,20.40,443100,Middle Income,0,0-2 Years,Middle Rate
3862,22000,60,320.81,D,Senior Designer,5,"50,000.00",Non-Default,IL,14.5,2,18,High Utilization,"30,643.79",38557,2,2410,93.00,41668,Middle Income,0,3-5 Years,Middle Rate
3983,18000,36,300.27,D,Logistics Coordinator,10,"45,000.00",Non-Default,FL,37.36,0,10,High Utilization,"23,363.40",38614,4,4290,104.30,45404,Low Income,0,6-10 Years,Middle Rate
4066,2900,36,433.65,B,Physician,10,"156,000.00",Non-Default,CA,6.85,0,8,High Utilization,"3,046.34",733336,2,91667,84.20,785988,High Income,0,6-10 Years,Middle Rate
4087,1500,60,163.67,B,Truck Driver,10,"58,000.00",Non-Default,NY,9.68,0,7,Medium Utilization,"1,753.99",9242,3,1320,38.60,25800,Middle Income,0,6-10 Years,Low Rate
4211,11500,36,354.30,B,Research Associate,3,"74,338.00",Non-Default,OH,13.69,0,8,High Utilization,"13,871.64",121133,3,17305,99.90,128339,Middle Income,0,3-5 Years,Middle Rate
4396,17700,36,655.69,D,Insurance Services Specialist,6,"43,500.00",Non-Default,AZ,34.68,0,5,Medium Utilization,"23,540.01",35455,1,7091,58.80,60662,Low Income,0,6-10 Years,High Rate
4419,6400,36,433.82,A,Partner,8,"28,957.00",Non-Default,FL,19.6,0,6,Low Utilization,"7,055.84",126621,1,21104,0.00,195418,Low Income,0,6-10 Years,Middle Rate
4446,4500,36,610.62,A,Nurses Aide,10,"23,500.00",Non-Default,MI,23.85,0,5,High Utilization,"5,088.65",34138,0,6828,63.20,72400,Low Income,0,6-10 Years,High Rate
4455,15000,36,242.57,A,Legal Secretary,2,"62,000.00",Non-Default,CA,9.49,0,8,High Utilization,"16,542.58",210308,2,26289,85.80,221945,Middle Income,0,0-2 Years,Low Rate
4507,2500,60,327.34,D,Sls Perf Analyst,8,"51,000.00",Non-Default,GA,33.78,0,15,Medium Utilization,"3,067.17",177550,8,12682,65.60,223406,Middle Income,0,6-10 Years,Middle Rate
4646,5000,60,594.21,B,Web Developer,1,"100,000.00",Non-Default,DC,22.5,0,10,Medium Utilization,"5,649.04",177197,11,17720,64.90,178561,High Income,0,0-2 Years,High Rate
4677,2400,36,446.68,B,Dairy Clerk,10,"46,000.00",Non-Default,VA,13.72,0,10,Medium Utilization,"2,806.92",289732,8,28973,78.80,469397,Low Income,0,6-10 Years,Middle Rate
4686,4850,36,465.27,E,Unknown,10,"13,000.00",Non-Default,MN,27.98,0,6,High Utilization,"6,416.70",6967,3,1161,99.90,8200,Low Income,0,6-10 Years,Middle Rate
4740,8500,36,283.56,B,Unit Manager,5,"73,000.00",Non-Default,MA,7.09,0,5,Low Utilization,"9,734.51",14389,2,2878,0.00,26820,Middle Income,0,3-5 Years,Middle Rate
4884,14000,60,302.11,D,Mortgage Loan Originator,1,"128,000.00",Non-Default,CO,9.07,0,11,High Utilization,"15,902.72",32834,8,2985,73.20,49664,High Income,0,0-2 Years,Middle Rate
4897,35000,36,601.08,B,Diagnostic Radiologist,10,"320,000.00",Non-Default,IL,10.28,0,25,Medium Utilization,"39,840.67",500324,0,26333,59.80,498079,High Income,0,6-10 Years,High Rate
4902,16000,60,557.76,B,Executive Director College Houses,1,"124,000.00",Non-Default,PA,39.13,0,22,High Utilization,"18,709.33",221202,2,12289,91.10,316282,High Income,0,0-2 Years,Middle Rate
4994,18200,36,550.32,B,Approvals Co-Ordinator,3,"86,000.00",Non-Default,TX,26.1,0,17,High Utilization,"20,412.66",159886,7,10659,104.20,185278,Middle Income,0,3-5 Years,Middle Rate
5003,5500,36,157.35,C,Unknown,10,"17,400.00",Non-Default,CA,18.28,0,5,High Utilization,"6,651.18",10071,3,2014,91.00,11300,Low Income,0,6-10 Years,Low Rate
5119,9000,36,679.00,A,Physician Assistant,10,"104,000.00",Non-Default,PA,10.43,0,9,High Utilization,"9,905.33",27170,1,3019,71.80,50576,High Income,0,6-10 Years,High Rate
5121,5000,36,791.42,C,Clinical Nurse Liason,1,"90,000.00",Non-Default,PA,4.33,1,10,Medium Utilization,"6,234.65",278495,5,30944,45.70,311300,Middle Income,0,0-2 Years,High Rate
5141,7500,36,375.43,B,Sfc,3,"67,667.00",Non-Default,AZ,9.67,0,9,Low Utilization,"7,793.30",180606,7,22576,38.30,209295,Middle Income,0,3-5 Years,Middle Rate
5292,3000,36,494.92,D,Warehouse Worker,5,"34,000.00",Non-Default,TX,36.89,1,11,Medium Utilization,"3,791.88",57865,6,5260,73.00,72621,Low Income,0,3-5 Years,Middle Rate
5311,10000,60,570.58,C,Owner,1,"27,000.00",Non-Default,CA,33.38,0,8,Medium Utilization,"12,236.97",8798,5,1100,70.80,25500,Low Income,0,0-2 Years,Middle Rate
5321,15000,36,132.92,B,Registered Nurse,2,"70,000.00",Non-Default,IL,5.3,0,7,High Utilization,"12,656.82",11168,5,1595,71.40,18100,Middle Income,0,0-2 Years,Low Rate
5354,10000,36,824.42,A,Assistant Manager,1,"64,500.00",Non-Default,NY,12.71,0,8,Medium Utilization,"11,110.21",97901,1,12238,35.50,122409,Middle Income,0,0-2 Years,High Rate
5415,5500,60,314.74,A,Qa Specialist,10,"60,000.00",Non-Default,LA,8.1,0,5,Medium Utilization,"6,065.60",12500,3,2500,51.00,26677,Middle Income,0,6-10 Years,Middle Rate
5469,21000,36,392.25,B,Budget Manager,5,"60,000.00",Non-Default,GA,17.18,1,13,High Utilization,"24,954.33",374115,5,31176,81.60,391475,Middle Income,0,3-5 Years,Middle Rate
5486,12000,36,74.54,B,Network Engineer,10,"115,000.00",Non-Default,PA,22.76,0,19,High Utilization,"13,037.66",273543,9,14397,66.20,305721,High Income,0,6-10 Years,Low Rate
5542,14575,36,646.87,B,Ncoic,Unknown,"63,000.00",Non-Default,VA,21.7,1,12,High Utilization,"17,043.03",36718,4,4080,65.00,72655,Middle Income,0,10+ Years,High Rate
5608,33000,60,406.72,C,"Vp, Application Services",10,"225,000.00",Non-Default,TX,15.52,1,21,Medium Utilization,"40,478.49",493148,9,23483,60.60,535818,High Income,0,6-10 Years,Middle Rate
5609,24000,60,"1,162.34",B,Broker,4,"218,000.00",Non-Default,IL,14.23,0,21,High Utilization,"19,584.13",227573,4,10837,79.90,276644,High Income,0,3-5 Years,High Rate
5644,15000,60,258.71,B,Lead Designer,2,"60,000.00",Non-Default,OK,22.66,0,8,High Utilization,"18,037.54",39928,6,5704,80.20,62431,Middle Income,0,0-2 Years,Low Rate
5696,12175,60,235.24,F,Tech Support Supervisor,7,"44,000.00",Non-Default,FL,19.07,0,11,Low Utilization,"13,687.19",31412,12,2856,37.20,46386,Low Income,0,6-10 Years,Low Rate
5709,34000,60,291.90,C,Global Equity Mutual Fund Product Mgr,10,"136,000.00",Default,FL,13.24,0,53,High Utilization,"25,183.19",380058,7,7452,69.40,365148,High Income,1,6-10 Years,Middle Rate
5773,18000,36,345.00,B,Registered Nurse,10,"59,000.00",Non-Default,NC,11.66,0,7,High Utilization,"21,455.84",38290,2,6382,73.30,57794,Middle Income,0,6-10 Years,Middle Rate
5787,25000,60,563.42,A,Store Manager,5,"72,000.00",Non-Default,FL,24.32,0,12,Medium Utilization,"19,337.84",224173,0,18681,91.40,288568,Middle Income,0,3-5 Years,Middle Rate
6107,6500,36,707.06,A,Ceo,2,"62,000.00",Default,CA,24.49,2,9,High Utilization,"1,839.98",53472,1,5941,74.30,71839,Middle Income,1,0-2 Years,High Rate
6156,25000,60,"1,115.77",C,Electrical Mechanic,5,"84,000.00",Non-Default,CA,8.67,0,6,High Utilization,"33,143.62",16658,1,2776,98.10,24000,Middle Income,0,3-5 Years,High Rate
6208,25000,60,432.18,B,Dispatch Manager,5,"72,600.00",Non-Default,CA,13.45,0,11,High Utilization,"26,349.90",237301,6,21573,88.00,251610,Middle Income,0,3-5 Years,Middle Rate
6392,20000,36,499.07,B,Internet Manager,2,"85,000.00",Non-Default,CA,11,0,14,Medium Utilization,"16,308.33",349370,13,26875,83.00,368001,Middle Income,0,0-2 Years,Middle Rate
6520,15000,60,298.95,C,Inside Sales,2,"50,000.00",Default,CA,0,0,3,Low Utilization,"4,021.07",0,5,0,0.00,8500,Middle Income,1,0-2 Years,Middle Rate
6525,12000,36,212.58,D,Branch Manager,10,"60,000.00",Non-Default,MA,15.35,3,16,High Utilization,"10,979.59",109231,1,6827,84.00,126573,Middle Income,0,6-10 Years,Low Rate
6626,8000,36,380.16,B,Per Diem Dementia Care Specialist,3,"30,000.00",Non-Default,NJ,32.68,0,9,Low Utilization,"9,106.40",57579,3,6398,22.90,92172,Low Income,0,3-5 Years,Middle Rate
6632,26000,36,662.90,A,Associate Full Stack Software Engineer.,10,"80,000.00",Non-Default,CA,10.76,0,11,High Utilization,"27,804.42",33074,1,3007,70.40,47626,Middle Income,0,6-10 Years,High Rate
6708,6600,36,388.45,C,Security Aide,1,"48,000.00",Default,MO,27.15,3,11,Low Utilization,"4,268.56",26312,11,2392,NA,43365,Middle Income,1,0-2 Years,Middle Rate
6727,20800,36,179.02,C,Technician,Unknown,"52,000.00",Default,PA,11.54,0,8,High Utilization,"11,318.34",17050,1,2131,62.30,30026,Middle Income,1,10+ Years,Low Rate
6743,20000,36,335.56,B,President,2,"205,000.00",Non-Default,MA,13.41,0,15,High Utilization,"23,884.16",354805,6,23654,83.60,394276,High Income,0,0-2 Years,Middle Rate
6948,16500,36,498.15,C,Teacher,Unknown,"40,000.00",Non-Default,NY,32.09,0,17,Medium Utilization,"14,677.30",62470,3,4462,47.60,99736,Low Income,0,10+ Years,Middle Rate
6965,10000,36,340.26,A,Information Technology,1,"72,253.11",Non-Default,GA,10.91,0,12,Low Utilization,"10,120.18",271279,1,24662,3.40,403858,Middle Income,0,0-2 Years,Middle Rate
6973,6000,36,681.92,B,Service Advisor,10,"80,000.00",Non-Default,CA,7.82,0,11,Low Utilization,"6,170.86",9553,12,868,53.90,22759,Middle Income,0,6-10 Years,High Rate
7027,26000,60,782.38,A,Claims Manager,10,"135,000.00",Non-Default,MA,10.14,0,3,High Utilization,"28,657.88",42919,2,14306,72.70,62024,High Income,0,6-10 Years,High Rate
7032,24000,36,200.12,B,Software Engineer,4,"100,000.00",Non-Default,FL,6.86,0,6,Medium Utilization,"27,658.71",28518,1,4753,17.40,56875,High Income,0,3-5 Years,Low Rate
7070,9475,36,172.48,C,Manager,3,"25,000.00",Non-Default,WI,30.39,0,24,Medium Utilization,"10,103.81",21541,12,979,45.50,46537,Low Income,0,3-5 Years,Low Rate
7084,10000,36,168.11,C,Maintenance Sales,1,"60,000.00",Default,TX,15.9,0,11,Medium Utilization,"4,436.87",116475,5,10589,46.00,159402,Middle Income,1,0-2 Years,Low Rate
7145,22525,36,193.05,B,Teacher,8,"49,000.00",Non-Default,TX,13.54,0,13,Low Utilization,"26,702.74",92459,4,7705,28.80,147452,Middle Income,0,6-10 Years,Low Rate
